path,canonical_url,retrieved_utc,bytes,pages,sha256
01-ternary-llms/bitnet-2310.11453.pdf,https://arxiv.org/abs/2310.11453,2026-07-11,586469,14,55424deeba35df1db7d8c936285657acf55ecd1e2c3dbbda8336b3f72db8b9e8
01-ternary-llms/bitnet-b1.58-2402.17764.pdf,https://arxiv.org/abs/2402.17764,2026-07-11,463748,8,bcd625e89f95c39dc9143af4174978fcf2467eb9659d86f8da448d7d9366c332
01-ternary-llms/bitnet-cpp-2502.11880.pdf,https://arxiv.org/abs/2502.11880,2026-07-11,796130,18,9fedf666a91c3f352aa78e8eece68fb219acc8c506fa4987843ab9c4503ee210
02-mixed-precision-outliers/llm-int8-2208.07339.pdf,https://arxiv.org/abs/2208.07339,2026-07-11,719021,20,40da3ce2d38eb3baa8b638cab093bd048178205c1eb4d0671e79c108f72906bf
02-mixed-precision-outliers/spqr-2306.03078.pdf,https://arxiv.org/abs/2306.03078,2026-07-11,2950333,26,904667ab9efa016eff78411a59e1c7cb03bb96897762e154cb88c09d5a03a73a
03-kv-cache-attention/deepseek-v2-mla-2405.04434.pdf,https://arxiv.org/abs/2405.04434,2026-07-11,1586880,52,f149f9c09aa8b46ce6a740a255a99b7cc2317ac5b065989339919b7e6c329c9b
03-kv-cache-attention/gqa-2305.13245.pdf,https://arxiv.org/abs/2305.13245,2026-07-11,269116,7,ba9094fe73db9bf515d47ae8b2d502fee9d8a6c7b1327e197ddb160f4c63b94a
03-kv-cache-attention/hardware-analysis-mla-2506.02523.pdf,https://arxiv.org/abs/2506.02523,2026-07-11,846662,4,a9d79cb83250b862bd24ee5ace2b4b45951e994a0aa51058b1d4f7a74ff6b44d
03-kv-cache-attention/kivi-2402.02750.pdf,https://arxiv.org/abs/2402.02750,2026-07-11,2194402,15,df31ef32d71bfb280c533c5db8220cadf5ef42076bf45d82ba4c8da8e50ea5f4
04-decoding/medusa-2401.10774.pdf,https://arxiv.org/abs/2401.10774,2026-07-11,2121059,27,93d98f2e858c87ee04be440ee81ab8ad93700652ed759227d25fcf75cfdd5ef0
04-decoding/speculative-decoding-2211.17192.pdf,https://arxiv.org/abs/2211.17192,2026-07-11,574982,13,8967e2daab74178b8a73a6f0b0780c5cbb40f9f6dcbd5c456b24a89c128c52ed
05-fpga-accelerators/bismo-1806.08862.pdf,https://arxiv.org/abs/1806.08862,2026-07-11,409495,8,3a3ab9a044528eda970f23f180ab45c3a774d2438c91029592d3a176c03085c5
05-fpga-accelerators/finn-1612.07119.pdf,https://arxiv.org/abs/1612.07119,2026-07-11,648842,10,051fcdd962807b88222a47bc1a76f47a12d923ad110ee8e39e0237b3772baede
06-memory-energy/roofline-williams-waterman-patterson-2008-tech-report.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2008/EECS-2008-134.html,2026-07-11,2430563,16,c92f852eed1070b140302114339271dc1a4d6d665814ac9000be6ce06a7d6bcb
07-agent-safety/agentdojo-2406.13352.pdf,https://arxiv.org/abs/2406.13352,2026-07-11,1042076,26,349884fffbf43282591c5accffd57bb651632f38e412fe303114941bdd111b05
07-agent-safety/nist-ai-600-1-genai-profile.pdf,https://doi.org/10.6028/NIST.AI.600-1,2026-07-11,1174643,64,6e73620ab6b64e90ef2c04bf0e0d6246185a2f4b1b13cab0df494496cff89b6a

